key_size,key_bits,file_type,input_size,input_bytes,input_MB,trial,enc_time_ms,dec_time_ms,enc_throughput_MBps,dec_throughput_MBps,enc_cpu_pct,dec_cpu_pct,enc_cpu_os_pct,dec_cpu_os_pct,enc_peak_MB,dec_peak_MB,rss_MB,verified
AES-128,128,BIN,1KB,1024,0.000976562,1,0.0128,0.00759994,76.2941,128.496,100.006,100,68.7497,68.7497,0.00151634,0.00145817,40.8164,PASS
AES-192,192,BIN,1KB,1024,0.000976562,1,0.0279001,0.00730006,35.0021,133.775,99.9953,99.8236,81.2495,87.4999,0.00151634,0.00145817,40.8164,PASS
AES-256,256,BIN,1KB,1024,0.000976562,1,0.0171,0.00770006,57.1089,126.825,99.9441,99.9549,49.9998,74.9997,0.00151634,0.00145817,40.8789,PASS
AES-192,192,BIN,1KB,1024,0.000976562,2,0.0222999,0.00939996,43.7922,103.89,99.8492,99.9146,68.7497,87.4996,0.00151634,0.00145817,40.8789,PASS
AES-256,256,BIN,1KB,1024,0.000976562,2,0.0265001,0.0111,36.8513,87.9789,99.6933,98.6822,43.7491,81.2481,0.00151634,0.00145817,40.1914,PASS
AES-128,128,BIN,1KB,1024,0.000976562,2,0.0496,0.0289,19.6887,33.7911,96.716,97.2808,49.9983,68.7496,0.00151634,0.00145817,35.6367,PASS
AES-256,256,BIN,1KB,1024,0.000976562,3,0.0529001,0.0281,18.4605,34.7531,98.3538,96.0824,56.2488,74.9996,0.00151634,0.00145817,35.6367,PASS
AES-128,128,BIN,1KB,1024,0.000976562,3,0.0435,0.0307,22.4497,31.8099,94.7461,93.4688,6.24983,49.9989,0.00151634,0.00145817,35.6367,PASS
AES-192,192,BIN,1KB,1024,0.000976562,3,0.0631,0.029,15.4764,33.6746,98.2271,96.7769,62.4997,68.7485,0.00151634,0.00145817,35.6367,PASS
AES-128,128,BIN,1KB,1024,0.000976562,4,0.0522,0.0318,18.7081,30.7095,99.0379,97.8535,81.2469,62.5,0.00151634,0.00145817,35.6367,PASS
AES-192,192,BIN,1KB,1024,0.000976562,4,0.0422,0.0286,23.1413,34.1456,98.0003,96.6657,68.7472,62.4985,0.00151634,0.00145817,35.6367,PASS
AES-256,256,BIN,1KB,1024,0.000976562,4,0.0455,0.0309,21.4629,31.604,94.5499,92.8152,24.9993,31.2497,0.00151634,0.00145817,35.6367,PASS
AES-192,192,BIN,1KB,1024,0.000976562,5,0.0464,0.0283,21.0466,34.5075,94.3266,94.359,43.748,43.7498,0.00151634,0.00145817,35.6367,PASS
AES-256,256,BIN,1KB,1024,0.000976562,5,0.0517,0.0341,18.889,28.6382,95.4087,91.1796,43.7496,49.9991,0.00151634,0.00145817,35.6367,PASS
AES-128,128,BIN,1KB,1024,0.000976562,5,0.0468,0.031,20.8667,31.502,95.9601,96.3556,56.2498,43.749,0.00151634,0.00145817,35.6367,PASS
AES-256,256,BIN,1KB,1024,0.000976562,6,0.0503,0.0301,19.4147,32.4439,96.1254,94.5883,31.2493,43.7497,0.00151634,0.00145817,35.6367,PASS
AES-128,128,BIN,1KB,1024,0.000976562,6,0.0457,0.0416001,21.369,23.475,95.0428,91.7698,68.7498,24.9994,0.00151634,0.00145817,35.6367,PASS
AES-192,192,BIN,1KB,1024,0.000976562,6,0.055,0.0304,17.7557,32.1238,95.318,96.3559,43.749,31.2498,0.00151634,0.00145817,35.6367,PASS
AES-128,128,BIN,1KB,1024,0.000976562,7,0.0432001,0.0299,22.6056,32.661,98.8017,93.0217,87.4985,37.4991,0.00151634,0.00145817,35.6367,PASS
AES-192,192,BIN,1KB,1024,0.000976562,7,0.0510999,0.0385001,19.1108,25.3652,95.7486,93.5533,37.4983,0,0.00151634,0.00145817,35.6406,PASS
AES-256,256,BIN,1KB,1024,0.000976562,7,0.0427,0.0265,22.8703,36.8515,95.4032,96.2929,37.4995,43.7498,0.00151634,0.00145817,35.6406,PASS
AES-192,192,BIN,1KB,1024,0.000976562,8,0.0576,0.04,16.9542,24.4141,86.9439,94.5652,31.2491,43.7497,0.00151634,0.00145817,35.6406,PASS
AES-256,256,BIN,1KB,1024,0.000976562,8,0.0439,0.0239001,22.2452,40.8602,93.084,95.566,43.7489,37.4991,0.00151634,0.00145817,35.6406,PASS
AES-128,128,BIN,1KB,1024,0.000976562,8,0.0503,0.0288,19.4147,33.9084,97.3214,91.4825,43.7485,18.7497,0.00151634,0.00145817,35.6406,PASS
AES-256,256,BIN,1KB,1024,0.000976562,9,0.0496999,0.0303001,19.6492,32.2297,96.9263,98.3419,81.2484,81.2485,0.00151634,0.00145817,35.6406,PASS
AES-128,128,BIN,1KB,1024,0.000976562,9,0.0514,0.0283,18.9993,34.5075,97.7084,94.6519,62.4994,68.7499,0.00151634,0.00145817,35.6406,PASS
AES-192,192,BIN,1KB,1024,0.000976562,9,0.0543999,0.0454,17.9515,21.5102,90.0322,95.7804,31.2493,49.9999,0.00151634,0.00145817,35.6406,PASS
AES-128,128,BIN,1KB,1024,0.000976562,10,0.0422,0.0319999,23.1413,30.5177,94.5904,95.1341,24.9992,49.9996,0.00151634,0.00145817,35.6406,PASS
AES-192,192,BIN,1KB,1024,0.000976562,10,0.0592,0.1952,16.496,5.00288,96.5823,94.701,74.9985,56.2487,0.00151634,0.00145817,35.6406,PASS
AES-256,256,BIN,1KB,1024,0.000976562,10,0.0553001,0.0272,17.6593,35.9031,97.2871,98.2188,43.7494,62.4822,0.00151634,0.00145817,35.6406,PASS
AES-128,128,BIN,100KB,102400,0.0976562,1,0.0738,0.0606,1323.26,1611.49,98.1535,91.3973,68.7389,81.2312,0.098196,0.0981379,34.5,PASS
AES-192,192,BIN,100KB,102400,0.0976562,1,0.0965,0.1638,1011.98,596.192,95.9538,95.1413,56.2469,56.2397,0.098196,0.0981379,34.5,PASS
