key_size,key_bits,file_type,input_size,input_bytes,input_MB,trials,enc_mean_ms,enc_min_ms,enc_max_ms,enc_std_ms,enc_cv_pct,dec_mean_ms,dec_min_ms,dec_max_ms,dec_std_ms,dec_cv_pct,enc_throughput_MBps,dec_throughput_MBps,enc_cpu_mean_pct,enc_cpu_std_pct,dec_cpu_mean_pct,dec_cpu_std_pct,enc_cpu_mean_pct_of_all_cores,enc_cpu_os_mean_pct,dec_cpu_os_mean_pct,enc_peak_mean_MB,dec_peak_mean_MB,rss_mean_MB,rss_max_MB,correctness
AES-128,128,BIN,1KB,1024,0.000976562,10,0.04377,0.0128,0.0522,0.0114544,26.1695,0.02906,0.00759994,0.0416001,0.00844438,29.0584,22.3112,33.6051,96.993,1.91242,95.1019,2.77455,3.03103,54.999,49.3745,0.00151634,0.00145817,36.1559,40.8164,PASS 10/10
AES-192,192,BIN,1KB,1024,0.000976562,10,0.04792,0.0222999,0.0631,0.0135229,28.2197,0.04521,0.00730006,0.1952,0.0540912,119.644,20.379,21.6006,95.5024,4.19733,96.2496,2.185,2.98445,54.3738,53.1245,0.00151634,0.00145817,36.6805,40.8789,PASS 10/10
AES-256,256,BIN,1KB,1024,0.000976562,10,0.04356,0.0171,0.0553001,0.0123389,28.3263,0.02499,0.00770006,0.0341,0.00870587,34.8374,22.4188,39.0781,96.6776,2.21077,96.1722,2.76081,3.02117,45.6242,58.1225,0.00151634,0.00145817,36.618,40.8789,PASS 10/10
AES-128,128,BIN,100KB,102400,0.0976562,10,0.09919,0.0738,0.128,0.0184979,18.649,0.09718,0.0606,0.2049,0.0474643,48.8416,984.537,1004.9,96.1305,1.42713,95.6111,2.15405,3.00408,34.9962,46.2443,0.098196,0.0981379,34.5,34.5,PASS 10/10
AES-192,192,BIN,100KB,102400,0.0976562,10,0.09562,0.0800999,0.1237,0.0142588,14.9119,0.13998,0.0686999,0.2202,0.0520796,37.205,1021.3,697.644,94.6572,2.58132,95.5294,2.37913,2.95804,39.3635,43.743,0.098196,0.0981379,34.377,34.5,PASS 10/10
AES-256,256,BIN,100KB,102400,0.0976562,10,0.09503,0.0820999,0.1134,0.0113011,11.8922,0.14692,0.0848999,0.1704,0.0246493,16.7774,1027.64,664.69,94.6118,2.86388,96.2361,1.46633,2.95662,34.3729,46.8725,0.098196,0.0981379,34.216,34.5,PASS 10/10
AES-128,128,BIN,1MB,1048576,1,10,0.79408,0.6187,1.1934,0.189043,23.8066,0.79796,0.6351,1.1943,0.194405,24.3628,1259.32,1253.2,96.5383,3.45433,96.5358,3.14336,3.01682,49.8974,55.5492,1.00054,1.00048,35.8316,35.832,PASS 10/10
AES-192,192,BIN,1MB,1048576,1,10,0.77268,0.6623,1.1888,0.158486,20.5112,0.78218,0.5266,1.1912,0.178565,22.8291,1294.2,1278.48,97.4675,1.46304,97.6594,2.2301,3.04586,58.0175,59.8804,1.00054,1.00048,35.8316,35.832,PASS 10/10
AES-256,256,BIN,1MB,1048576,1,10,0.84659,0.5118,1.2951,0.26454,31.2477,0.86315,0.6554,1.1364,0.148703,17.2279,1181.21,1158.55,96.7137,3.22292,96.8792,2.4911,3.0223,58.5968,61.1703,1.00054,1.00048,35.832,35.832,PASS 10/10
AES-128,128,BIN,5MB,5242880,5,10,3.15758,2.3386,4.2563,0.600736,19.0252,3.27109,2.5817,4.6088,0.613499,18.7552,1583.49,1528.54,96.8104,2.12842,96.9055,2.34751,3.02533,65.7736,64.6736,5.00054,5.00048,43.818,43.832,PASS 10/10
AES-192,192,BIN,5MB,5242880,5,10,3.24197,2.8714,4.1611,0.462885,14.2779,3.27597,2.917,4.3635,0.538659,16.4427,1542.27,1526.27,96.9322,1.66102,96.1803,2.77876,3.02913,60.1715,62.0404,5.00054,5.00048,43.8227,43.832,PASS 10/10
AES-256,256,BIN,5MB,5242880,5,10,3.79665,2.9372,5.8141,1.13907,30.0019,3.62995,2.8819,4.8753,0.707839,19.5,1316.95,1377.43,96.2554,2.78321,96.6148,1.88202,3.00798,54.6261,60.7498,5.00054,5.00048,43.8227,43.832,PASS 10/10
AES-128,128,BIN,10MB,10485760,10,10,6.04417,5.4896,7.1787,0.51945,8.59423,6.12925,5.6579,7.393,0.609295,9.94077,1654.49,1631.52,97.3264,1.50808,97.9043,1.25156,3.04145,62.8759,77.7916,10.0005,10.0005,53.7852,53.7852,PASS 10/10
AES-192,192,BIN,10MB,10485760,10,10,6.16581,5.8186,6.9569,0.340319,5.51945,6.15628,5.7067,6.4265,0.232482,3.77634,1621.85,1624.36,97.1618,2.07879,98.2077,0.905055,3.0363,69.792,77.1568,10.0005,10.0005,53.7852,53.7852,PASS 10/10
AES-256,256,BIN,10MB,10485760,10,10,6.23586,5.721,7.3616,0.460088,7.37811,6.38785,5.9607,6.9958,0.345408,5.40726,1603.63,1565.47,97.235,3.02849,98.132,0.925973,3.03859,71.4848,78.763,10.0005,10.0005,53.7852,53.7852,PASS 10/10
