trial,flipped_bit_index,byte_offset,differing_bits_of_256
1,76,9,139
2,234,29,122
3,362,45,141
4,236,29,122
5,205,25,111
6,458,57,113
7,4937,617,123
8,985,123,117
9,6084,760,124
10,1588,198,130
11,2262,282,124
12,2666,333,144
13,733,91,138
14,7621,952,124
15,3951,493,127
16,7774,971,127
17,3799,474,126
18,4704,588,131
19,8030,1003,136
20,5163,645,115
21,3644,455,128
22,1506,188,124
23,2897,362,143
24,5445,680,115
25,1460,182,114
26,4888,611,132
27,784,98,121
28,1761,220,141
29,5511,688,126
30,5130,641,128
31,6911,863,124
32,258,32,132
33,6282,785,123
34,2761,345,125
35,6835,854,127
36,4708,588,116
37,3968,496,128
38,4166,520,123
39,7607,950,125
40,1919,239,134
41,7705,963,133
42,7953,994,138
43,6273,784,123
44,4222,527,129
45,7132,891,114
46,2563,320,129
47,2768,346,118
48,5101,637,134
49,1827,228,135
50,2981,372,132
51,112,14,122
52,2489,311,132
53,278,34,130
54,7523,940,129
55,7741,967,133
56,4975,621,126
57,7013,876,131
58,1760,220,137
59,3663,457,127
60,7862,982,123
61,4664,583,132
62,138,17,135
63,2816,352,129
64,6075,759,131
65,850,106,122
66,120,15,132
67,2523,315,118
68,4126,515,136
69,6835,854,127
70,5322,665,131
71,1495,186,121
72,3174,396,122
73,7049,881,138
74,4883,610,139
75,3496,437,138
76,6652,831,133
77,5336,667,111
78,2013,251,133
79,1146,143,130
80,3584,448,131
81,3462,432,129
82,679,84,134
83,6183,772,133
84,4338,542,137
85,8097,1012,122
86,5305,663,124
87,986,123,127
88,5150,643,130
89,5962,745,132
90,5073,634,130
91,3376,422,110
92,7396,924,121
93,183,22,131
94,231,28,118
95,4488,561,131
96,6981,872,127
97,5557,694,125
98,2600,325,135
99,4502,562,112
100,4799,599,130
101,8184,1023,122
102,594,74,124
103,3852,481,140
104,6184,773,128
105,2368,296,140
106,1037,129,136
107,5599,699,121
108,7535,941,121
109,3340,417,136
110,3996,499,129
111,7499,937,123
112,6574,821,129
113,286,35,133
114,7306,913,129
115,5383,672,124
116,173,21,121
117,3809,476,103
118,2235,279,122
119,973,121,108
120,3043,380,132
121,3734,466,129
122,6659,832,124
123,2243,280,139
124,1519,189,131
125,6327,790,142
126,2675,334,130
127,2797,349,129
128,6943,867,127
129,4875,609,128
130,3789,473,136
131,5320,665,128
132,5548,693,140
133,4668,583,116
134,3977,497,113
135,6070,758,133
136,7077,884,121
137,5363,670,116
138,3442,430,138
139,4988,623,128
140,2418,302,113
141,8165,1020,141
142,652,81,119
143,7955,994,132
144,8095,1011,127
145,2009,251,128
146,20,2,129
147,8180,1022,136
148,3749,468,124
149,399,49,126
150,6536,817,119
151,3456,432,133
152,936,117,121
153,6483,810,125
154,4416,552,134
155,235,29,129
156,511,63,119
157,4320,540,115
158,1909,238,113
159,1225,153,132
160,2900,362,134
161,1173,146,116
162,7776,972,128
163,5846,730,135
164,8157,1019,126
165,169,21,125
166,5214,651,127
167,818,102,128
168,4038,504,122
169,7913,989,139
170,580,72,130
171,6407,800,128
172,4904,613,121
173,1835,229,121
174,559,69,130
175,3067,383,127
176,5043,630,119
177,6493,811,139
178,5770,721,137
179,1131,141,123
180,3574,446,137
181,2852,356,128
182,6147,768,126
183,365,45,134
184,6779,847,136
185,2166,270,118
186,5596,699,144
187,2826,353,135
188,1359,169,127
189,3315,414,143
190,3365,420,129
191,3173,396,119
192,2818,352,118
193,7670,958,132
194,3863,482,133
195,5430,678,117
196,7668,958,126
197,7541,942,144
198,1416,177,123
199,7672,959,137
200,4048,506,132
201,317,39,139
202,2997,374,134
203,8129,1016,130
204,959,119,130
205,6221,777,129
206,2440,305,134
207,1358,169,136
208,5662,707,132
209,5104,638,120
210,5424,678,140
211,232,29,140
212,3137,392,130
213,2879,359,120
214,7528,941,127
215,8183,1022,126
216,1260,157,123
217,1805,225,126
218,895,111,126
219,3624,453,124
220,5282,660,146
221,5580,697,118
222,157,19,137
223,3245,405,141
224,3490,436,126
225,473,59,112
226,218,27,129
227,2560,320,122
228,77,9,123
229,717,89,129
230,3911,488,127
231,1941,242,125
232,3786,473,137
233,5110,638,132
234,5670,708,111
235,1031,128,127
236,2005,250,120
237,2807,350,132
238,2736,342,142
239,169,21,125
240,5787,723,132
241,8032,1004,125
242,4315,539,128
243,3402,425,129
244,4178,522,135
245,6459,807,129
246,3701,462,132
247,2795,349,119
248,1540,192,129
249,2869,358,128
250,4443,555,127
251,2,0,127
252,6888,861,145
253,5328,666,149
254,6468,808,123
255,6214,776,127
256,5349,668,114
257,95,11,118
258,587,73,129
259,7214,901,123
260,7884,985,133
261,593,74,128
262,4473,559,137
263,5467,683,136
264,84,10,128
265,1539,192,140
266,6676,834,131
267,3717,464,139
268,4778,597,127
269,290,36,126
270,7089,886,126
271,3576,447,138
272,4932,616,127
273,4075,509,127
274,4062,507,130
275,703,87,132
276,982,122,133
277,5770,721,137
278,3942,492,128
279,499,62,148
280,4594,574,132
281,6475,809,137
282,3377,422,127
283,6431,803,131
284,1640,205,130
285,3508,438,142
286,3461,432,117
287,6240,780,129
288,7271,908,124
289,5862,732,129
290,7365,920,126
291,5630,703,138
292,7314,914,141
293,2088,261,140
294,1645,205,130
295,1870,233,114
296,4193,524,134
297,5225,653,117
298,7127,890,132
299,4016,502,127
300,1736,217,134
301,7633,954,134
302,6357,794,140
303,1565,195,129
304,7452,931,115
305,8121,1015,129
306,3544,443,122
307,7756,969,125
308,2246,280,131
309,581,72,126
310,1405,175,126
311,1987,248,140
312,3728,466,136
313,1687,210,126
314,326,40,123
315,626,78,124
316,7306,913,129
317,8136,1017,129
318,7921,990,117
319,1671,208,137
320,4220,527,131
321,4299,537,131
322,1314,164,127
323,3066,383,132
324,5520,690,124
325,3242,405,123
326,1397,174,134
327,2130,266,136
328,3175,396,135
329,6576,822,122
330,5975,746,126
331,7784,973,132
332,7748,968,130
333,882,110,121
334,2379,297,150
335,1839,229,126
336,5270,658,111
337,1269,158,121
338,6034,754,122
339,4373,546,124
340,342,42,129
341,7516,939,134
342,3613,451,123
343,1913,239,127
344,3208,401,141
345,3449,431,125
346,6698,837,129
347,609,76,127
348,1242,155,116
349,1273,159,137
350,2132,266,124
351,62,7,132
352,3810,476,124
353,2544,318,134
354,3304,413,126
355,2147,268,135
356,230,28,130
357,6005,750,132
358,2118,264,139
359,6699,837,133
360,7764,970,121
361,3481,435,120
362,3862,482,142
363,5919,739,138
364,4286,535,120
365,2032,254,131
366,6382,797,134
367,4348,543,131
368,1806,225,125
369,3591,448,133
370,7657,957,132
371,3769,471,137
372,684,85,118
373,1773,221,133
374,7067,883,137
375,836,104,128
376,2632,329,125
377,4338,542,137
378,3596,449,124
379,2474,309,136
380,2937,367,129
381,5719,714,123
382,4282,535,126
383,3832,479,113
384,2889,361,127
385,3304,413,126
386,682,85,140
387,2106,263,133
388,2382,297,130
389,4334,541,129
390,6122,765,109
391,5658,707,129
392,1601,200,137
393,2407,300,131
394,7873,984,142
395,3602,450,123
396,6999,874,130
397,1218,152,137
398,7074,884,133
399,1192,149,135
400,6007,750,130
401,7023,877,142
402,64,8,117
403,4213,526,127
404,3701,462,132
405,3878,484,145
406,1305,163,131
407,7619,952,128
408,5529,691,130
409,7560,945,127
410,7698,962,129
411,4148,518,119
412,1459,182,126
413,4303,537,128
414,4879,609,131
415,3200,400,127
416,2321,290,136
