dataset_id,filename,file_type,input_size,input_bytes,input_MB,trial,chunk_size_bytes,hash_time_ms,inmemory_time_ms,throughput_MBps,inmemory_throughput_MBps,cpu_pct,cpu_os_pct,peak_traced_MB,rss_MB,sha256,verified
BIN_1KB,1KB.bin,BIN,1KB,1024,0.000976562,1,65536,0.1869,0.00599993,5.22505,162.762,99.8447,68.7067,0.0729189,34.1094,8c8002aca0ffea34866013675b9e2681bec8046cfcd4709f7ad00e55525c7edd,PASS
BIN_1KB,1KB.bin,BIN,1KB,1024,0.000976562,2,65536,0.1469,0.00460004,6.6478,212.295,99.3307,31.2498,0.0729189,34.1094,8c8002aca0ffea34866013675b9e2681bec8046cfcd4709f7ad00e55525c7edd,PASS
BIN_1KB,1KB.bin,BIN,1KB,1024,0.000976562,3,65536,0.1486,0.00520004,6.57175,187.799,99.2809,18.7477,0.0729189,34.1094,8c8002aca0ffea34866013675b9e2681bec8046cfcd4709f7ad00e55525c7edd,PASS
BIN_1KB,1KB.bin,BIN,1KB,1024,0.000976562,4,65536,0.153,0.00490004,6.38276,199.297,99.9981,24.9986,0.0729189,34.1094,8c8002aca0ffea34866013675b9e2681bec8046cfcd4709f7ad00e55525c7edd,PASS
BIN_1KB,1KB.bin,BIN,1KB,1024,0.000976562,5,65536,0.1465,0.00459992,6.66595,212.3,99.7724,43.7479,0.0729189,34.1094,8c8002aca0ffea34866013675b9e2681bec8046cfcd4709f7ad00e55525c7edd,PASS
BIN_1KB,1KB.bin,BIN,1KB,1024,0.000976562,6,65536,0.1761,0.00600005,5.5455,162.759,99.8064,68.7391,0.0729189,34.1133,8c8002aca0ffea34866013675b9e2681bec8046cfcd4709f7ad00e55525c7edd,PASS
BIN_1KB,1KB.bin,BIN,1KB,1024,0.000976562,7,65536,0.1589,0.00510004,6.14577,191.481,99.4558,31.2417,0.0729189,34.1133,8c8002aca0ffea34866013675b9e2681bec8046cfcd4709f7ad00e55525c7edd,PASS
BIN_1KB,1KB.bin,BIN,1KB,1024,0.000976562,8,65536,0.1472,0.00729994,6.63425,133.777,98.8677,37.4883,0.0729189,34.1133,8c8002aca0ffea34866013675b9e2681bec8046cfcd4709f7ad00e55525c7edd,PASS
BIN_1KB,1KB.bin,BIN,1KB,1024,0.000976562,9,65536,0.1573,0.00449992,6.20828,217.018,98.7385,24.9919,0.0729189,34.1133,8c8002aca0ffea34866013675b9e2681bec8046cfcd4709f7ad00e55525c7edd,PASS
BIN_1KB,1KB.bin,BIN,1KB,1024,0.000976562,10,65536,0.1538,0.00520004,6.34956,187.799,99.5171,68.7453,0.0729189,34.1133,8c8002aca0ffea34866013675b9e2681bec8046cfcd4709f7ad00e55525c7edd,PASS
