dataset_id,file_type,input_size,input_bytes,input_MB,trials,mean_ms,min_ms,max_ms,std_ms,cv_pct,inmemory_mean_ms,inmemory_min_ms,inmemory_max_ms,inmemory_std_ms,throughput_MBps,inmemory_throughput_MBps,io_share_pct,cpu_mean_pct,cpu_min_pct,cpu_max_pct,cpu_std_pct,cpu_mean_pct_of_all_cores,cpu_os_mean_pct,peak_mean_MB,peak_min_MB,peak_max_MB,peak_std_MB,rss_mean_MB,rss_max_MB,sha256,digest_consistency
BIN_1KB,BIN,1KB,1024,0.000976562,10,0.15752,0.1465,0.1869,0.0136011,8.63452,0.00533999,0.00449992,0.00729994,0.000869474,6.19961,182.877,96.61,99.4612,98.7385,99.9981,0.418802,3.10816,41.8657,0.0729189,0.0729189,0.0729189,0,34.1113,34.1133,8c8002aca0ffea34866013675b9e2681bec8046cfcd4709f7ad00e55525c7edd,PASS 10/10
BIN_100KB,BIN,100KB,102400,0.0976562,10,0.20235,0.1843,0.2262,0.0129673,6.40838,0.04583,0.0424,0.0525999,0.00292537,482.611,2130.84,77.3511,99.4295,98.8241,99.8448,0.33167,3.10717,44.9903,0.134471,0.134471,0.134471,0,34.2785,34.2812,4c9ec34908181cb97446cb32e5eb478889390e6abdd6097cce6536bb15a9b287,PASS 10/10
BIN_1MB,BIN,1MB,1048576,1,10,0.6308,0.5654,0.6906,0.0373258,5.91722,0.4446,0.4184,0.5216,0.0344991,1585.29,2249.21,29.5181,99.3746,98.988,99.6091,0.228362,3.10546,23.0996,0.134469,0.134469,0.134469,0,35.2859,35.2891,f668f5edf1917b701d1aae20da0e0735e1b03ab4acb2cfe417d4915a25e0c201,PASS 10/10
BIN_5MB,BIN,5MB,5242880,5,10,2.85241,2.7053,3.0761,0.129726,4.54796,2.1273,1.9951,2.4298,0.119692,1752.9,2350.4,25.421,99.2189,98.3055,99.82,0.499764,3.10059,44.8128,0.134469,0.134469,0.134469,0,39.2945,39.2969,f1b46c21340f3b38710a177574ac70c58706651cd809a1b194032dfd8db3147d,PASS 10/10
BIN_10MB,BIN,10MB,10485760,10,10,5.67222,5.3072,6.0714,0.253224,4.46428,4.16553,3.9226,4.2492,0.104707,1762.98,2400.65,26.5626,98.7659,97.4843,99.7934,0.856785,3.08643,43.9647,0.13447,0.13447,0.13447,0,44.3008,44.3008,1f17c0787bddd26a339c96514145d0c9c6526d1e8511204a1013743567ae3c1d,PASS 10/10
BIN_50MB,BIN,50MB,52428800,50,10,28.9149,28.3754,29.8547,0.498796,1.72505,21.212,19.9852,23.6543,1.17826,1729.21,2357.15,26.6397,98.9134,98.1493,99.3872,0.43514,3.09104,57.5998,0.13447,0.13447,0.13447,0,84.3047,84.3047,f4a8626f0ebd24cde1cc824980a176d665247d77c81a4f91274ea7e33e1d7532,PASS 10/10
TXT_1KB,TXT,1KB,1024,0.000976562,10,0.15409,0.1362,0.1781,0.0130377,8.46108,0.00513003,0.00430003,0.00680005,0.000815221,6.33761,190.362,96.6708,99.3645,98.5609,99.9151,0.471798,3.10514,46.2451,0.0729189,0.0729189,0.0729189,0,34.3098,34.3125,c64e837255050fe1ee8533adf85ea1507eed7346ec3f755be0b8ec31b8e6505d,PASS 10/10
TXT_100KB,TXT,100KB,102400,0.0976562,10,0.20236,0.1804,0.2249,0.0150775,7.45081,0.04523,0.0411,0.0475,0.00254124,482.587,2159.1,77.6487,99.8824,99.5285,100.085,0.178838,3.12132,70.6104,0.134471,0.134471,0.134471,0,34.3148,34.3164,e7941c00e94f09e2778300c83bd03c8a2545374df44688fd4759e4f530a7f9fe,PASS 10/10
TXT_1MB,TXT,1MB,1048576,1,10,0.64173,0.5826,0.7775,0.0594377,9.26211,0.42025,0.382,0.4358,0.0180216,1558.29,2379.54,34.513,99.7983,99.5226,99.9604,0.148114,3.1187,59.2748,0.134469,0.134469,0.134469,0,35.3219,35.3242,a2373e7284e16bd3be0e002df5bb9128d8df7924aa4e6408c7050dbc4e85975a,PASS 10/10
TXT_5MB,TXT,5MB,5242880,5,10,2.87474,2.6166,3.4936,0.263201,9.15563,2.06877,1.9689,2.167,0.0620226,1739.29,2416.9,28.0363,99.2181,98.6877,99.9601,0.471107,3.10057,52.2089,0.134469,0.134469,0.134469,0,39.3324,39.3359,8fbfb99b177b8b4cea95479b0d12ecd12ecc7955cd116ed68902bf3183d37721,PASS 10/10
TXT_10MB,TXT,10MB,10485760,10,10,5.66937,5.2795,5.9008,0.189128,3.33597,4.2133,3.979,4.8769,0.252525,1763.86,2373.44,25.6831,99.384,99.1309,99.8885,0.226814,3.10575,50.6457,0.13447,0.13447,0.13447,0,44.348,44.3516,840998e32432ae86be309547281e3e9ab5e7829e70444284417cdad73f160fa5,PASS 10/10
TXT_50MB,TXT,50MB,52428800,50,10,29.253,28.0818,30.1251,0.617065,2.1094,21.3697,20.3812,22.5742,0.680015,1709.22,2339.76,26.9489,98.5961,97.962,99.3823,0.505257,3.08113,39.8828,0.13447,0.13447,0.13447,0,84.3516,84.3516,e893bece34a96e2fee949d4d7d80a1780d971adc7547a583d9f5313ccf21b152,PASS 10/10
PDF_1KB,PDF,1KB,1024,0.000976562,10,0.15717,0.1291,0.2028,0.0258398,16.4407,0.00522,0.00440003,0.00750006,0.000975051,6.21342,187.081,96.6788,99.6834,99.3651,99.879,0.157403,3.1151,46.8649,0.0729189,0.0729189,0.0729189,0,34.3555,34.3555,e495032f718fc06277f66c3ae12f99f22d013669fa952673aedc5f8f897a0b88,PASS 10/10
PDF_100KB,PDF,100KB,102400,0.0976562,10,0.24387,0.1698,0.3286,0.0564569,23.1504,0.04835,0.0423,0.0558001,0.00351862,400.444,2019.78,80.1739,99.1153,98.5066,99.7776,0.477471,3.09735,33.1138,0.134471,0.134471,0.134471,0,34.3672,34.3672,550d4930fd234eab7801a3f60fdc2a5dc02e5a5a500246532fd674747528ebdb,PASS 10/10
PDF_1MB,PDF,1MB,1048576,1,10,0.71503,0.6127,0.9642,0.1039,14.5309,0.45088,0.4274,0.5563,0.0409042,1398.54,2217.88,36.9425,99.2213,98.4019,99.8514,0.51636,3.10066,32.4691,0.134469,0.134469,0.134469,0,35.3742,35.3789,7a310f0583cac466bcafb0a60e6ee620e4a278ac5341d0f1c563b7ed65b0fa30,PASS 10/10
PDF_5MB,PDF,5MB,5242880,5,10,3.42001,2.7115,5.1639,0.734238,21.4689,2.36796,2.0574,2.913,0.261452,1461.98,2111.52,30.7616,97.6154,95.7651,99.2915,1.17566,3.05048,27.379,0.134469,0.134469,0.134469,0,39.3813,39.3828,587dbc816afa0bed12d857f10fb4a16c7ea95a13445828518d3a2f2eb325d1ce,PASS 10/10
PDF_10MB,PDF,10MB,10485760,10,10,7.37602,5.8755,10.8251,1.80019,24.406,5.01798,4.0362,8.4028,1.36471,1355.74,1992.83,31.969,96.6504,95.5007,97.4854,0.671992,3.02033,17.8228,0.13447,0.13447,0.13447,0,44.3883,44.3906,b6cc607c99b65fceef8cb8e959f45746ebe9f3550d3a7a5f29b125af6db58d9c,PASS 10/10
PDF_50MB,PDF,50MB,52428800,50,10,33.2864,29.1984,41.1617,4.01641,12.0662,23.3415,20.6337,28.2096,2.63891,1502.11,2142.11,29.8769,98.6066,95.4591,99.8641,1.43272,3.08145,34.9791,0.13447,0.13447,0.13447,0,84.4008,84.4062,1f81d6d89cb6ca13f1e6e003b22b0ec92899aab821d7d67c0e25a3e67cc64688,PASS 10/10
